time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-04-04,2091.28,1980.55,2009.14,1247065.05,2549503619.99,2075.72,direct,
2021-04-05,2128.89,2003.11,2075.72,1440960.66,2984290230.86,2106.55,direct,
2021-04-06,2150.74,2047.36,2106.55,1484477.28,3132773244.91,2110.67,direct,
2021-04-07,2127.08,1935.07,2110.67,1830659.51,3699334057.24,1962.67,direct,
2021-04-08,2083.88,1948.98,1962.67,1283853.75,2603317214.1,2080.36,direct,
2021-04-09,2100.42,2050.92,2080.36,1071504.34,2224207697.01,2066.95,direct,
2021-04-10,2194.5,2058.25,2066.95,1677051.25,3596437864.47,2133.83,direct,
2021-04-11,2164.16,2114.13,2133.83,1041042.27,2227796089.22,2151.06,direct,
2021-04-12,2200.89,2105.72,2151.06,1312511.39,2820606546.6,2137.86,direct,
2021-04-13,2316.27,2136.72,2137.86,1736151.91,3873250308.3,2299.35,direct,
2021-04-14,2446.41,2281.85,2299.35,2069560.7,4878943745.17,2432.14,direct,
2021-04-15,2542.52,2402.84,2432.14,1627858.42,4007638427.71,2513.74,direct,
2021-04-16,2546.3,2306.53,2513.74,1961488.89,4746970792.91,2422.56,direct,
2021-04-17,2494.17,2313.74,2422.56,1496190.21,3608499408.54,2318.23,direct,
2021-04-18,2338.45,1993.59,2318.23,2981525.5,6463511249.69,2236.41,direct,
2021-04-19,2285.53,2085.69,2236.41,2021248.21,4441467111.65,2161.2,direct,
2021-04-20,2345.93,2056.26,2161.2,2519010.48,5519786141.59,2331.58,direct,
2021-04-21,2465.95,2237.05,2331.58,2915744.87,6858242021.03,2356.22,direct,
2021-04-22,2638.21,2317.3,2356.22,4560204.7,11308446807.9,2399.52,direct,
2021-04-23,2441.98,2109.39,2399.52,4247524.64,9613516870.67,2366.96,direct,
2021-04-24,2368.45,2156.82,2366.96,2391128.33,5386707147.69,2213.84,direct,
2021-04-25,2355.16,2165.71,2213.84,2317921.63,5248308461.8,2319.75,direct,
2021-04-26,2540.24,2304.79,2319.75,2550380.57,6284867169.81,2532.62,direct,
2021-04-27,2677.05,2482.28,2532.62,1952651.98,5038543226.44,2665.61,direct,
2021-04-28,2759.22,2564.37,2665.61,2152160.22,5757995789.12,2747.04,direct,
2021-04-29,2797.6,2668.73,2747.04,2087442.95,5717974003.1,2757.35,direct,
2021-04-30,2797.6,2725.56,2757.35,1592701.77,4389863136.37,2772.55,direct,
2021-05-01,2953.7,2753.12,2772.55,1523287.08,4366811521.7,2944.81,direct,
2021-05-02,2984.23,2854.29,2944.81,1404415.65,4106674824.8,2949.91,direct,
2021-05-03,3452.56,2949.72,2949.91,2713718.64,8647454852.83,3428.59,direct,
2021-05-04,3524.21,3170.15,3428.59,3179087.78,10633518867.73,3237.77,direct,
2021-05-05,3543.66,3208.18,3237.77,2087991.29,7027375516.49,3524.17,direct,
2021-05-06,3601.84,3382.03,3524.17,1617025.6,5637014223.45,3489.55,direct,
2021-05-07,3584.09,3358.43,3489.55,1375246.67,4779024792.56,3479.65,direct,
2021-05-08,3956.21,3450.65,3479.65,2108351.95,7758212495.84,3910.3,direct,
2021-05-09,3981.63,3730.98,3910.3,1859174.1,7227474727.46,3923.13,direct,
2021-05-10,4205.43,3712.58,3923.13,2506811.1,10130667610.85,3946.7,direct,
2021-05-11,4175.28,3773.66,3946.7,1983921.27,7894653177.23,4170.71,direct,
2021-05-12,4370.17,3813.32,4170.71,2683482.9,11202809466.15,3828.95,direct,
2021-05-13,4033.75,3549.2,3828.95,3389542.57,12858374859.45,3718.15,direct,
2021-05-14,4171.44,3693.23,3718.15,2261750.73,8957638477.24,4076.81,direct,
2021-05-15,4128.16,3637.85,4076.81,2113343.84,8199408644.7,3647.06,direct,
2021-05-16,3877.93,3347.96,3647.06,2282901.65,8327844573.42,3577.6,direct,
2021-05-17,3580.66,3124.03,3577.6,2802353.29,9360322119.32,3281.01,direct,
2021-05-18,3559.94,3243.85,3281.01,2421429.64,8266666467.41,3375.05,direct,
2021-05-19,3435.81,1950.76,3375.05,5489684.06,15089031119.25,2436.45,direct,
2021-05-20,2987.98,2160.29,2436.45,5067432.95,13414376582.92,2769.06,direct,
2021-05-21,2936.56,2103.0,2769.06,4853865.29,12329330221.71,2430.89,direct,
2021-05-22,2483.62,2159.53,2430.89,3796463.73,8884838986.5,2293.99,direct,
2021-05-23,2380.67,1732.8,2293.99,5730196.98,11695615137.4,2095.62,direct,
